,Crash_Year,Loc_Suburb
273,304,"Brisbane City,Queensland"
1803,302,"Southport,Queensland"
338,229,"Caboolture,Queensland"
745,195,"Fortitude Valley,Queensland"
1857,178,"Surfers Paradise,Queensland"
2147,167,"Woolloongabba,Queensland"
1777,158,"Slacks Creek,Queensland"
1693,152,"Robina,Queensland"
324,134,"Burleigh Heads,Queensland"
1225,133,"Maroochydore,Queensland"
667,132,"Eight Mile Plains,Queensland"
141,129,"Beenleigh,Queensland"
904,124,"Helensvale,Queensland"
1230,120,"Maryborough,Queensland"
579,118,"Deception Bay,Queensland"
954,117,"Inala,Queensland"
2004,117,"Upper Mount Gravatt,Queensland"
66,115,"Aspley,Queensland"
1457,115,"Nerang,Queensland"
1784,115,"South Brisbane,Queensland"
42,113,"Annerley,Queensland"
1324,113,"Morayfield,Queensland"
425,112,"Chermside,Queensland"
1851,111,"Sunnybank,Queensland"
298,109,"Buderim,Queensland"
1852,108,"Sunnybank Hills,Queensland"
345,107,"Calamvale,Queensland"
328,106,"Burpengary,Queensland"
1546,101,"Oxenford,Queensland"
1558,101,"Palm Beach,Queensland"
1602,96,"Pimpama,Queensland"
853,95,"Greenslopes,Queensland"
955,95,"Indooroopilly,Queensland"
88,94,"Bald Hills,Queensland"
372,94,"Capalaba,Queensland"
1159,94,"Loganholme,Queensland"
1992,93,"Underwood,Queensland"
61,92,"Arundel,Queensland"
969,90,"Ipswich,Queensland"
646,88,"East Brisbane,Queensland"
819,86,"Goodna,Queensland"
1160,86,"Loganlea,Queensland"
1450,86,"Narangba,Queensland"
1498,86,"North Lakes,Queensland"
2,85,"Acacia Ridge,Queensland"
343,85,"Cairns City,Queensland"
761,85,"Garbutt,Queensland"
2080,85,"West End,Queensland"
244,83,"Bowen Hills,Queensland"
1997,83,"Upper Coomera,Queensland"
